date,facet,party,value,lower,upper
2020-04-14,2,ukip,0.008397328,0.006387938,0.010864864
2020-04-15,1,con,0.502660772,0.476941402,0.530329007
2020-04-15,1,lab,0.314293899,0.29205714,0.335548855
2020-04-15,2,lib,0.075639547,0.06724217,0.084278034
2020-04-15,2,green,0.03652275,0.031436679,0.042668433
2020-04-15,2,ukip,0.008410991,0.006431745,0.010881394
2020-04-17,1,con,0.501588097,0.475702668,0.529114225
2020-04-17,1,lab,0.315658726,0.293236358,0.336864005
2020-04-17,2,lib,0.075429415,0.067052421,0.084049859
2020-04-17,2,green,0.036487689,0.031448243,0.042659019
2020-04-17,2,ukip,0.008438516,0.006459874,0.010918182
2020-04-18,1,con,0.500447491,0.474515319,0.527695081
2020-04-18,1,lab,0.316989599,0.294304964,0.338185549
2020-04-18,2,lib,0.075208076,0.066884229,0.083860598
2020-04-18,2,green,0.03647324,0.031473767,0.042665753
2020-04-18,2,ukip,0.008482118,0.006508105,0.010968048
2020-04-20,1,con,0.499147356,0.472844562,0.526195942
2020-04-20,1,lab,0.318343352,0.295625951,0.339594719
2020-04-20,2,lib,0.07505722,0.066702975,0.083619479
2020-04-20,2,green,0.036478748,0.031490701,0.042676536
2020-04-20,2,ukip,0.008542491,0.006555803,0.011017114
2020-04-21,1,con,0.497736644,0.471529062,0.524847963
2020-04-21,1,lab,0.319746465,0.297007434,0.341143864
2020-04-21,2,lib,0.074896905,0.066555357,0.083357161
2020-04-21,2,green,0.036503523,0.031415344,0.042686599
2020-04-21,2,ukip,0.008618894,0.006615494,0.011080159
2020-04-23,1,con,0.496220387,0.469916078,0.523262226
2020-04-23,1,lab,0.321203155,0.298644516,0.343012348
2020-04-23,2,lib,0.074733168,0.066426008,0.083182219
2020-04-23,2,green,0.036535251,0.031437119,0.042681782
2020-04-23,2,ukip,0.008708004,0.006696452,0.011157715
2020-04-24,1,con,0.494511634,0.468025315,0.521474813
2020-04-24,1,lab,0.322716792,0.300231873,0.344899008
2020-04-24,2,lib,0.074590545,0.06628928,0.083167744
2020-04-24,2,green,0.036541392,0.031432361,0.042708249
2020-04-24,2,ukip,0.008810504,0.0067975,0.011248034
2020-04-26,1,con,0.492746285,0.466277615,0.519620011
2020-04-26,1,lab,0.324275702,0.301571951,0.346583799
2020-04-26,2,lib,0.074455923,0.066178073,0.083139694
2020-04-26,2,green,0.036575869,0.031473778,0.042719736
2020-04-26,2,ukip,0.008907634,0.006910068,0.01135007
2020-04-27,1,con,0.491055349,0.46466815,0.517889456
2020-04-27,1,lab,0.325862725,0.30310687,0.348172025
2020-04-27,2,lib,0.074331342,0.066094104,0.082964088
2020-04-27,2,green,0.036590114,0.031467549,0.042732108
2020-04-27,2,ukip,0.009008168,0.00700482,0.011474987
2020-04-29,1,con,0.489255703,0.463034707,0.516098753
2020-04-29,1,lab,0.327565554,0.304548806,0.349765636
2020-04-29,2,lib,0.074255385,0.066042401,0.082804406
2020-04-29,2,green,0.036637572,0.031517469,0.042780575
2020-04-29,2,ukip,0.009120088,0.00711401,0.011608621
2020-04-30,1,con,0.487330129,0.460943731,0.514106237
2020-04-30,1,lab,0.329222623,0.306177521,0.35128806
2020-04-30,2,lib,0.074159862,0.066027675,0.082734502
2020-04-30,2,green,0.036682034,0.031596567,0.042858221
2020-04-30,2,ukip,0.009249844,0.007221704,0.011774915
2020-05-02,1,con,0.485357691,0.458855547,0.512073702
